station,date,total_case
9603,2022-01-17,0
9603,2022-01-24,0
9603,2022-01-31,1
9603,2022-02-07,1
9603,2022-02-14,0
9603,2022-02-21,0
9603,2022-02-28,1
9603,2022-03-07,0
9603,2022-03-14,0
9603,2022-03-21,1
9603,2022-03-28,0
9603,2022-04-04,1
9603,2022-04-11,0
9603,2022-04-18,0
9603,2022-04-25,0
9603,2022-05-02,1
9603,2022-05-09,1
9603,2022-05-16,3
9603,2022-05-23,1
9603,2022-05-30,0
9603,2022-06-06,2
9603,2022-06-13,2
9603,2022-06-20,0
9603,2022-06-27,3
9603,2022-07-04,0
9603,2022-07-11,1
9603,2022-07-18,2
9603,2022-07-25,6
9603,2022-08-01,2
9603,2022-08-08,1
9603,2022-08-15,2
9603,2022-08-22,1
9603,2022-08-29,2
9603,2022-09-05,4
9603,2022-09-12,0
9603,2022-09-19,3
9603,2022-09-26,1
9603,2022-10-03,2
9603,2022-10-10,0
9603,2022-10-17,0
9603,2022-10-24,0
9603,2022-10-31,0
9603,2022-11-07,2
9603,2022-11-14,0
9603,2022-11-21,0
9603,2022-11-28,0
9603,2022-12-05,3
9603,2022-12-12,0
9603,2022-12-19,3
9603,2022-12-26,1
9603,2023-01-02,3
9603,2023-01-09,5
9603,2023-01-16,3
9603,2023-01-23,1
9603,2023-01-30,2
9603,2023-02-06,6
9603,2023-02-13,6
9603,2023-02-20,0
9603,2023-02-27,4
9603,2023-03-06,0
9603,2023-03-13,2
9603,2023-03-20,1
9603,2023-03-27,2
9603,2023-04-03,3
9603,2023-04-10,1
9603,2023-04-17,2
9603,2023-04-24,1
9603,2023-05-01,0
9603,2023-05-08,1
9603,2023-05-15,1
9603,2023-05-22,0
9603,2023-05-29,3
9603,2023-06-05,0
9603,2023-06-12,1
9603,2023-06-19,2
9603,2023-06-26,1
9603,2023-07-03,1
9603,2023-07-10,0
9603,2023-07-17,5
9603,2023-07-24,0
9603,2023-07-31,4
9603,2023-08-07,7
9603,2023-08-14,7
9603,2023-08-21,2
9603,2023-08-28,5
9603,2023-09-04,2
9603,2023-09-11,9
9603,2023-09-18,6
9603,2023-09-25,4
9603,2023-10-02,5
9603,2023-10-09,5
9603,2023-10-16,7
9603,2023-10-23,3
9603,2023-10-30,3
9603,2023-11-06,1
9603,2023-11-13,1
9603,2023-11-20,4
9603,2023-11-27,1
9603,2023-12-04,1
9603,2023-12-11,2
9603,2023-12-18,0
9603,2023-12-25,1
9603,2024-01-01,2
9604,2019-01-07,1
9604,2019-01-14,3
9604,2019-01-21,0
9604,2019-01-28,0
9604,2019-02-04,0
9604,2019-02-11,2
9604,2019-02-18,4
9604,2019-02-25,6
9604,2019-03-04,1
9604,2019-03-11,2
9604,2019-03-18,9
9604,2019-03-25,5
9604,2019-04-01,0
9604,2019-04-08,2
9604,2019-04-15,1
9604,2019-04-22,3
9604,2019-04-29,3
9604,2019-05-06,3
9604,2019-05-13,3
9604,2019-05-20,3
9604,2019-05-27,3
9604,2019-06-03,0
9604,2019-06-10,0
9604,2019-06-17,3
9604,2019-06-24,3
9604,2019-07-01,7
9604,2019-07-08,9
9604,2019-07-15,1
9604,2019-07-22,5
9604,2019-07-29,3
9604,2019-08-05,7
9604,2019-08-12,3
9604,2019-08-19,8
9604,2019-08-26,4
9604,2019-09-02,0
9604,2019-09-09,2
9604,2019-09-16,5
9604,2019-09-23,0
9604,2019-09-30,0
9604,2019-10-07,7
9604,2019-10-14,3
9604,2019-10-21,2
9604,2019-10-28,5
9604,2019-11-04,0
9604,2019-11-11,1
9604,2019-11-18,3
9604,2019-11-25,6
9604,2019-12-02,3
9604,2019-12-09,1
9604,2019-12-16,6
9604,2019-12-23,1
9604,2019-12-30,0
9604,2020-01-06,3
9604,2020-01-13,3
9604,2020-01-20,3
9604,2020-01-27,3
9604,2020-02-03,2
9604,2020-02-10,0
9604,2020-02-17,0
9604,2020-02-24,0
9604,2020-03-02,0
9604,2020-03-09,0
9604,2020-03-16,1
9604,2020-03-23,0
9604,2020-03-30,0
9604,2020-04-06,0
9604,2020-04-13,1
9604,2020-04-20,1
9604,2020-04-27,0
9604,2020-05-04,0
9604,2020-05-11,0
9604,2020-05-18,0
9604,2020-05-25,0
9604,2020-06-01,0
9604,2020-06-08,5
9604,2020-06-15,0
9604,2020-06-22,0
9604,2020-06-29,0
9604,2020-07-06,1
9604,2020-07-13,1
9604,2020-07-20,2
9604,2020-07-27,2
9604,2020-08-03,4
9604,2020-08-10,1
9604,2020-08-17,2
9604,2020-08-24,3
9604,2020-08-31,2
9604,2020-09-07,5
9604,2020-09-14,2
9604,2020-09-21,2
9604,2020-09-28,4
9604,2020-10-05,2
9604,2020-10-12,2
9604,2020-10-19,1
9604,2020-10-26,0
9604,2020-11-02,1
9604,2020-11-09,0
9604,2020-11-16,1
9604,2020-11-23,0
9604,2020-11-30,0
9604,2020-12-07,0
9604,2020-12-14,0
9604,2020-12-21,0
9604,2020-12-28,0
9604,2021-01-04,0
9604,2021-01-11,0
9604,2021-01-18,0
9604,2021-01-25,0
9604,2021-02-01,0
9604,2021-02-08,1
9604,2021-02-15,2
9604,2021-02-22,0
9604,2021-03-01,0
9604,2021-03-08,0
9604,2021-03-15,0
9604,2021-03-22,0
9604,2021-03-29,2
9604,2021-04-05,0
9604,2021-04-12,1
9604,2021-04-19,0
9604,2021-04-26,0
9604,2021-05-03,0
9604,2021-05-10,0
9604,2021-05-17,0
9604,2021-05-24,0
9604,2021-05-31,0
9604,2021-06-07,0
9604,2021-06-14,0
