date,total_case,temp
2022-12-22,14,26.074664869641293
2022-12-29,4,26.31820400580585
2023-01-07,23,26.084875556228585
2023-01-14,16,26.725376397185528
2023-01-21,32,25.527479773392116
2023-01-28,22,25.03043066478342
2023-02-04,27,27.19280775173581
2023-02-11,25,27.246412225890733
2023-02-18,32,27.210984035081378
2023-02-25,35,26.10976949026935
2023-03-03,30,26.86799124565004
2023-03-10,42,27.121153979755103
2023-03-17,21,28.91840349465824
2023-03-24,44,29.32336038156169
2023-03-31,22,28.786552841404564
2023-04-07,34,30.114216513114645
2023-04-14,31,30.199958721323743
2023-04-21,31,29.911941777051613
2023-04-28,25,28.99635570645657
2023-05-05,14,30.15299342852571
2023-05-12,24,29.60297320872798
2023-05-19,22,29.816187106255736
2023-05-26,19,29.028028581901623
2023-06-02,24,28.75038972640783
2023-06-09,11,28.604070070610568
2023-06-16,34,28.955967726206776
2023-06-23,32,28.7012685334166
2023-06-30,17,29.32909561934323
2023-07-07,37,28.399272849366504
2023-07-14,48,28.974774366921597
2023-07-21,34,28.810327570606063
2023-07-28,67,28.460454425979044
2023-08-04,42,27.799683918643563
2023-08-11,56,28.260590503301504
2023-08-18,56,27.90499134820612
2023-08-25,36,28.313652668410672
2023-09-01,53,28.2781098532107
2023-09-08,56,28.117337671427222
2023-09-15,59,27.96870141484905
2023-09-22,46,27.506798255128636
2023-09-29,51,28.080660749662343
2023-10-06,50,28.399735078811425
2023-10-13,52,27.890346915478272
2023-10-20,47,27.96141245225628
2023-10-27,58,27.386492721308876
2023-11-03,54,28.020390767776867
2023-11-10,49,27.12880220681052
2023-11-17,37,25.22002646467711
2023-11-24,34,25.31899555169833
2023-12-01,28,26.86372147761429
2023-12-08,24,26.813489776754164
2023-12-15,18,27.11665425081679
2023-12-22,11,25.60450235926955
2023-12-29,22,26.36180602139557
