date,station,temp
2023-09-18,9606,28.45276073619632
2023-09-25,9606,27.359375
2023-10-02,9606,28.212025316455698
2023-10-09,9606,27.79036144578313
2023-10-16,9606,28.653012048192767
2023-10-23,9606,27.62969696969697
2023-10-30,9606,27.46280487804878
2023-11-06,9606,27.258433734939757
2023-11-13,9606,27.347204968944098
2023-11-20,9606,25.909756097560976
2023-11-27,9606,24.946341463414633
2023-12-04,9606,25.88121212121212
2023-12-11,9606,28.099375
2023-12-18,9606,26.56645962732919
2023-12-25,9606,26.278125
2024-01-01,9606,26.800729927007296
2019-01-07,9603,27.835826201862574
2019-01-14,9603,27.85499465139693
2019-01-21,9603,27.874163100931288
2019-01-28,9603,27.893331550465646
2019-02-04,9603,27.9125
2019-02-11,9603,27.89107142857143
2019-02-18,9603,27.997604790419164
2019-02-25,9603,28.137500000000003
2019-03-04,9603,27.94216867469879
2019-03-11,9603,23.427272727272726
2019-03-18,9603,30.112676056338028
2019-03-25,9603,29.81860465116279
2019-04-01,9603,29.419277108433736
2019-04-08,9603,29.698203592814373
2019-04-15,9603,30.463690476190475
2019-04-22,9603,30.93988095238095
2019-04-29,9603,30.736842105263158
2019-05-06,9603,30.60062310949788
2019-05-13,9603,30.464404113732606
2019-05-20,9603,30.328185117967333
2019-05-27,9603,30.191966122202057
2019-06-03,9603,30.05574712643678
2019-06-10,9603,29.919528130671505
2019-06-17,9603,29.78330913490623
2019-06-24,9603,29.647090139140957
2019-07-01,9603,29.51087114337568
2019-07-08,9603,29.374652147610405
2019-07-15,9603,29.23843315184513
2019-07-22,9603,29.102214156079853
2019-07-29,9603,28.96599516031458
2019-08-05,9603,28.829776164549305
2019-08-12,9603,28.69355716878403
2019-08-19,9603,28.557338173018753
2019-08-26,9603,28.42111917725348
2019-09-02,9603,28.284900181488204
2019-09-09,9603,28.14868118572293
2019-09-16,9603,28.012462189957652
2019-09-23,9603,27.876243194192377
2019-09-30,9603,27.740024198427104
2019-10-07,9603,27.603805202661828
2019-10-14,9603,27.467586206896552
2019-10-21,9603,27.131645569620254
2019-10-28,9603,26.66835443037975
2019-11-04,9603,27.28993710691824
2019-11-11,9603,26.631612903225804
2019-11-18,9603,26.73701298701299
2019-11-25,9603,26.018543046357617
2019-12-02,9603,25.39324324324324
2019-12-09,9603,24.984666666666666
2019-12-16,9603,25.562745098039215
2019-12-23,9603,26.091275167785234
2019-12-30,9603,26.021428571428572
2020-01-06,9603,26.545751633986928
2020-01-13,9603,26.632278481012655
2020-01-20,9603,26.106666666666666
2020-01-27,9603,26.142857142857142
2020-02-03,9603,26.24178082191781
2020-02-10,9603,25.39391891891892
2020-02-17,9603,26.683333333333334
2020-02-24,9603,26.90457516339869
2020-03-02,9603,26.585526315789473
2020-03-09,9603,27.63333333333333
2020-03-16,9603,28.777018633540376
2020-03-23,9603,27.43647798742138
2020-03-30,9603,28.571428571428573
2020-04-06,9603,28.80125
2020-04-13,9603,29.248148148148147
2020-04-20,9603,29.326380368098157
2020-04-27,9603,27.953846153846154
2020-05-04,9603,27.63544303797468
2020-05-11,9603,29.78083832335329
2020-05-18,9603,29.643558282208588
2020-05-25,9603,29.628571428571426
2020-06-01,9603,28.791608391608392
2020-06-08,9603,27.476582278481015
2020-06-15,9603,28.02974683544304
2020-06-22,9603,28.40573248407643
2020-06-29,9603,27.895483870967745
2020-07-06,9603,27.755974842767294
2020-07-13,9603,27.76894409937888
2020-07-20,9603,28.714465408805033
2020-07-27,9603,28.471612903225807
2020-08-03,9603,27.755483870967744
2020-08-10,9603,26.634065934065934
2020-08-17,9603,23.828000000000003
2020-08-24,9603,26.574311926605503
2020-08-31,9603,27.848351648351645
2020-09-07,9603,27.705357142857142
2020-09-14,9603,27.417575757575754
2020-09-21,9603,27.21883116883117
2020-09-28,9603,26.89101123595506
2020-10-05,9603,27.067910447761193
2020-10-12,9603,26.927027027027027
2020-10-19,9603,27.07794117647059
2020-10-26,9603,25.231578947368423
2020-11-02,9603,25.84766355140187
2020-11-09,9603,24.955454545454543
2020-11-16,9603,25.859349593495935
2020-11-23,9603,25.941830065359476
2020-11-30,9603,25.480128205128207
2020-12-07,9603,25.35126582278481
2020-12-14,9603,25.438235294117646
2020-12-21,9603,25.302484472049688
2020-12-28,9603,25.629411764705882
2021-01-04,9603,24.45531914893617
2021-01-11,9603,25.538554216867468
2021-01-18,9603,24.854140127388533
2021-01-25,9603,24.978378378378377
2021-02-01,9603,24.695652173913043
2021-02-08,9603,25.764705882352942
2021-02-15,9603,24.102564102564102
2021-02-22,9603,21.78666666666667
2021-03-01,9603,21.44324324324324
2021-03-08,9603,26.38
2021-03-15,9603,23.12222222222222
2021-03-22,9603,23.569202642132577
2021-03-29,9603,24.016183062042934
2021-04-05,9603,24.463163481953288
2021-04-12,9603,24.910143901863645
2021-04-19,9603,25.357124321774002
2021-04-26,9603,25.80410474168436
2021-05-03,9603,26.251085161594716
2021-05-10,9603,26.698065581505073
2021-05-17,9603,27.14504600141543
2021-05-24,9603,27.592026421325784
2021-05-31,9603,28.03900684123614
2021-06-07,9603,28.485987261146498
2021-06-14,9603,27.893452380952382
2021-06-21,9603,27.865853658536587
2021-06-28,9603,28.218064516129033
2021-07-05,9603,28.602409638554217
2021-07-12,9603,27.31807228915663
2021-07-19,9603,28.03803680981595
2021-07-26,9603,29.07125748502994
2021-08-02,9603,28.298192771084338
2021-08-09,9603,28.805389221556887
2021-08-16,9603,27.348502994011977
2021-08-23,9603,26.866242038216562
2021-08-30,9603,26.41521739130435
2021-09-06,9603,25.96764705882353
2021-09-13,9603,26.71914893617021
2021-09-20,9603,26.802962197892995
2021-09-27,9603,26.88677545961578
2021-10-04,9603,26.970588721338565
2021-10-11,9603,27.05440198306135
2021-10-18,9603,27.138215244784135
2021-10-25,9603,27.22202850650692
2021-11-01,9603,27.305841768229705
2021-11-08,9603,27.38965502995249
2021-11-15,9603,27.473468291675275
2021-11-22,9603,27.55728155339806
2021-11-29,9603,25.2512987012987
2021-12-06,9603,25.949668874172186
2021-12-13,9603,26.692024539877302
2021-12-20,9603,25.953750000000003
2021-12-27,9603,27.106547619047618
2022-01-03,9603,26.88802395209581
2022-01-10,9603,26.79820359281437
2022-01-17,9603,25.896951219512196
2022-01-24,9603,26.60421686746988
2022-01-31,9603,26.641104294478527
2022-02-07,9603,27.20063694267516
2022-02-14,9603,26.46325301204819
2022-02-21,9603,27.55748502994012
2022-02-28,9603,25.53292682926829
2022-03-07,9603,27.289820359281435
2022-03-14,9603,27.504166666666666
2022-03-21,9603,28.025301204819275
2022-03-28,9603,28.892168674698798
2022-04-04,9603,28.303592814371257
2022-04-11,9603,27.932335329341317
2022-04-18,9603,29.382317073170732
2022-04-25,9603,29.501257861635217
2022-05-02,9603,28.94578313253012
2022-05-09,9603,28.21212121212121
2022-05-16,9603,27.79285714285714
2022-05-23,9603,27.908791208791207
2022-05-30,9603,28.024725274725274
2022-06-06,9603,28.14065934065934
2022-06-13,9603,28.256593406593407
2022-06-20,9603,28.372527472527473
