date,station,press
2020-11-16,9610,1006.5484662576687
2020-11-23,9610,1005.4386904761906
2020-11-30,9610,1005.3926380368098
2020-12-07,9610,1005.8575757575758
2020-12-14,9610,1005.3130952380952
2020-12-21,9610,1005.7559523809524
2020-12-28,9610,1004.3761904761906
2021-01-04,9610,1005.5059523809524
2021-01-11,9610,1005.0833333333334
2021-01-18,9610,1006.4313253012049
2021-01-25,9610,1006.1785714285714
2021-02-01,9610,1006.8137724550897
2021-02-08,9610,1006.8753012048192
2021-02-15,9610,1005.7461077844312
2021-02-22,9610,1001.5726190476191
2021-03-01,9610,991.1945454545455
2021-03-08,9610,994.6730538922155
2021-03-15,9610,998.5407185628742
2021-03-22,9610,996.6273809523809
2021-03-29,9610,995.8065476190476
2021-04-05,9610,992.9626506024096
2021-04-12,9610,997.5544910179641
2021-04-19,9610,996.3562874251497
2021-04-26,9610,997.8217391304347
2021-05-03,9610,994.8383233532934
2021-05-10,9610,995.9285714285714
2021-05-17,9610,992.3664670658683
2021-05-24,9610,996.2184523809525
2021-05-31,9610,996.7970802919709
2021-06-07,9610,1010.3147435897437
2021-06-14,9610,1010.2142857142857
2021-06-21,9610,1011.5180722891566
2021-06-28,9610,1011.1548780487805
2021-07-05,9610,1010.0209580838323
2021-07-12,9610,1009.4693251533743
2021-07-19,9610,1009.7700598802395
2021-07-26,9610,1009.9071856287425
2021-08-02,9610,1010.2333333333333
2021-08-09,9610,1011.0940476190475
2021-08-16,9610,1011.074251497006
2021-08-23,9610,1011.1613095238096
2021-08-30,9610,1009.5299401197605
2021-09-06,9610,1010.6659999999999
2021-09-13,9610,1009.8083333333333
2021-09-20,9610,1010.570481927711
2021-09-27,9610,1009.5296969696969
2021-10-04,9610,1009.6841463414635
2021-10-11,9610,1007.94
2021-10-18,9610,1008.3090361445783
2021-10-25,9610,1012.5
2021-11-01,9610,1011.2418181818182
2021-11-08,9610,1009.7079268292683
2021-11-15,9610,1010.1560240963855
2021-11-22,9610,1008.8800000000001
2021-11-29,9610,1010.5762195121952
2021-12-06,9610,1012.2466666666668
2021-12-13,9610,1012.9638036809816
2021-12-20,9610,1011.2593939393938
2021-12-27,9610,1012.3863095238095
2022-01-03,9610,1013.15
2022-01-10,9610,1012.969512195122
2022-01-17,9610,1013.7709090909092
2022-01-24,9610,1011.2351515151514
2022-01-31,9610,1010.8179012345679
2022-02-07,9610,1011.2362499999999
2022-02-14,9610,1010.2612121212121
2022-02-21,9610,1009.3584337349398
2022-02-28,9610,1012.7066666666667
2022-03-07,9610,1011.0890909090909
2022-03-14,9610,1008.9445783132529
2022-03-21,9610,1007.8397590361445
2022-03-28,9610,1010.2562874251496
2022-04-04,9610,1009.9473053892216
2022-04-11,9610,1010.8454545454546
2022-04-18,9610,1007.8814814814814
2022-04-25,9610,1008.7591194968554
2022-05-02,9610,1007.1802395209581
2022-05-09,9610,1007.0403614457832
2022-05-16,9610,1008.8386904761904
2022-05-23,9610,1008.6209580838324
2022-05-30,9610,1008.222754491018
2022-06-06,9610,1008.144578313253
2022-06-13,9610,1008.702380952381
2022-06-20,9610,1008.8808383233534
2022-06-27,9610,1008.3160714285715
2022-07-04,9610,1006.3011904761905
2022-07-11,9610,1007.8535714285714
2022-07-18,9610,1007.5922155688622
2022-07-25,9610,1008.1386904761904
2022-08-01,9610,1007.2488095238094
