date,station,humid
2022-01-03,9611,91.76130952380952
2022-01-10,9611,83.9125
2022-01-17,9611,80.81923076923077
2022-01-24,9611,76.4857142857143
2022-01-31,9611,75.27544910179641
2022-02-07,9611,83.50062893081761
2022-02-14,9611,91.05808383233533
2022-02-21,9611,83.72275449101797
2022-02-28,9611,93.475
2022-03-07,9611,85.28035714285714
2022-03-14,9611,81.48630952380952
2022-03-21,9611,81.2562874251497
2022-03-28,9611,80.90658682634731
2022-04-04,9611,80.79760479041917
2022-04-11,9611,83.23869047619048
2022-04-18,9611,83.5
2022-04-25,9611,81.07843137254902
2022-05-02,9611,81.92625000000001
2022-05-09,9611,86.79461077844311
2022-05-16,9611,88.29358974358973
2022-05-23,9611,82.32763157894736
2022-05-30,9611,78.46993865030674
2022-06-06,9611,83.46178343949045
