date,temp
2021-08-04,28.90741326252985
2021-08-11,27.0710796339354
2021-08-18,27.41398124256192
2021-08-25,27.691865308339224
2021-09-01,27.766006967389785
2021-09-08,27.91255674902489
2021-09-15,27.74735228962543
2021-09-22,28.47094404582295
2021-09-29,27.76043887409918
2021-10-06,28.674853726398066
2021-10-13,28.310043509127066
2021-10-20,27.752198543129133
2021-10-27,27.60080142491791
2021-11-03,27.378387087969003
2021-11-10,26.878692919118595
2021-11-17,27.35258002429482
2021-11-24,25.826485645415488
2021-12-01,25.90537310752248
2021-12-08,26.706871978608415
2021-12-15,25.99413434805347
2021-12-22,27.483662664888392
2021-12-29,24.746636854978128
2022-01-07,26.614588289617775
2022-01-14,26.39944159550515
2022-01-21,27.484550882458727
2022-01-28,27.635945146115915
2022-02-04,26.5666097152605
