date,rain
2022-07-21,8.11047619047619
2022-07-28,10.52
2022-08-04,5.0902040816326535
2022-08-11,9.291836734693877
2022-08-18,7.06326530612245
2022-08-25,9.708163265306123
2022-09-01,5.497959183673468
2022-09-08,10.528707482993198
2022-09-15,7.807619047619048
2022-09-22,6.024761904761904
2022-09-29,14.422857142857143
2022-10-06,9.919319727891155
2022-10-13,4.661224489795919
2022-10-20,9.691836734693878
2022-10-27,18.044897959183675
2022-11-03,28.510714285714283
2022-11-10,13.398214285714285
2022-11-17,5.2625
2022-11-24,14.203571428571431
2022-12-01,23.530357142857145
2022-12-08,18.667857142857144
2022-12-15,59.426785714285714
2022-12-22,0.08392857142857144
2022-12-29,3.790625
2023-01-07,20.583928571428572
2023-01-14,7.982142857142857
2023-01-21,12.567857142857141
