date,press
2020-05-05,1003.2863043145595
2020-05-12,1002.3694250533694
2020-05-19,1003.8578624052535
2020-05-26,1005.8127887653065
2020-06-02,1004.594003150164
2020-06-09,1003.2153875735902
2020-06-16,1004.0568505473402
2020-06-23,1004.214321926199
2020-06-30,1005.0242473910073
2020-07-07,1005.4864251646331
2020-07-14,1004.7465912711762
2020-07-21,1004.9980192003119
2020-07-28,1005.195538660306
2020-09-29,1004.6817760747106
2020-10-06,1003.1217248926847
2020-10-13,1003.4608622461229
2020-10-20,1005.3506119164076
2020-10-27,1005.6032987571813
2020-11-03,1006.5624431062021
2020-11-10,1005.2517625649597
2020-11-17,1005.0693440118393
2020-11-24,1005.8254322273185
2020-12-01,1006.2361945850126
2020-12-08,1005.59524452203
2020-12-15,1006.3230903443065
2020-12-22,1004.7486619470918
2020-12-29,1007.4493747759069
2021-01-07,1006.0243036090199
2021-01-14,1006.7238297837429
2021-01-21,1005.9318734395804
2021-01-28,1007.8468564314137
2021-02-04,1006.6783980776539
2021-02-11,1006.7934992136168
2021-02-18,1006.0639785238998
2021-02-25,1003.5416075131533
2021-03-03,1006.2825404596477
2021-03-10,1004.6833075239945
2021-03-17,1002.735130989312
2021-03-24,1001.9005579289209
2021-03-31,1002.1006234151567
2021-04-07,1004.375488076248
2021-04-14,1003.9851999867691
2021-04-21,1003.6802542946978
2021-04-28,1002.6236228584393
2021-05-05,1002.3681928998498
2021-05-12,1001.1298808365287
2021-05-19,1002.7497689712447
2021-05-26,1003.9918167718716
2021-06-02,1006.2449798477354
2021-06-09,1005.5922857420567
2021-06-16,1006.9847579010409
2021-06-23,1006.2336336980937
2021-06-30,1004.8649397762226
2021-07-07,1004.9441740659129
2021-07-14,1005.2807060150774
2021-07-21,1005.0291723968221
2021-07-28,1006.3834399279151
2021-08-04,1006.2404688729619
2021-08-11,1007.3477298952964
2021-08-18,1005.9741020351272
2021-08-25,1005.23516712942
2021-09-01,1005.8313588938898
2021-09-08,1005.5668466663167
2021-09-15,1005.6455691074098
2021-09-22,1004.7932141612281
2021-09-29,1004.8004786765441
2021-10-06,1003.2160923782147
2021-10-13,1005.5032456867332
2021-10-20,1007.0256607050032
2021-10-27,1007.040459584353
2021-11-03,1004.6479741366281
2021-11-10,1005.0180500786561
2021-11-17,1004.7430873562178
2021-11-24,1005.9564632365252
2021-12-01,1008.8742154414409
2021-12-08,1007.8314672792843
2021-12-15,1007.227301829072
2021-12-22,1008.0824260201463
2021-12-29,1006.8562049825663
2022-01-07,1008.8893189087848
2022-01-14,1008.582452143919
2022-01-21,1006.2811284305027
2022-01-28,1006.4721716734065
2022-02-04,1007.0736892837241
2022-02-11,1004.2042249814479
2022-02-18,1007.0192742326691
2022-02-25,1007.6250174994691
2022-03-03,1005.7324124583307
2022-03-10,1003.5378298695596
2022-03-17,1005.162806536467
2022-03-24,1006.6400243576646
2022-03-31,1007.6482011788067
2022-04-07,1005.6042367140036
2022-04-14,1005.0910464878261
2022-04-21,1004.1800446193496
2022-04-28,1003.8074867917588
2022-05-05,1003.0593331254892
2022-05-12,1005.2967409532157
2022-05-19,1004.2462000352863
2022-05-26,1003.5122912386241
2022-06-02,1004.5497181375355
2022-06-09,1004.934970669371
2022-06-16,1004.6134621437948
2022-06-23,1003.6173817965524
2022-06-30,1003.2041168090642
2022-07-07,1003.6231751552865
2022-07-14,1004.0593765638002
2022-07-21,1004.1839486127112
2022-07-28,1004.0142853448043
2022-08-04,1003.9312439147842
2022-08-11,1004.9382672395384
2022-08-18,1004.1049200048504
2022-08-25,1004.3257683631557
2022-09-01,1005.9869047619047
2022-09-08,1007.0086038961039
2022-09-15,1005.8785714285714
2022-09-22,1004.2833333333334
2022-09-29,1004.7828821114406
2022-10-06,1006.4472135033271
2022-10-13,1004.9581577505479
2022-10-20,1006.6726833106123
2022-10-27,1004.955537665731
2022-11-03,1006.993711758878
2022-11-10,1004.8398441114915
2022-11-17,1003.7887977647918
2022-11-24,1005.3710361657226
2022-12-01,1004.3162468407219
2022-12-08,1005.599110615064
2022-12-15,1004.6026948951546
2022-12-22,1008.5796447571012
2022-12-29,1009.0089439551452
2023-01-07,1007.0432255113701
